date,shooting_no
25/11/2017,1
26/11/2017,3
27/11/2017,1
28/11/2017,3
29/11/2017,1
30/11/2017,2
1/12/2017,2
2/12/2017,2
3/12/2017,1
4/12/2017,1
5/12/2017,2
6/12/2017,2
7/12/2017,4
8/12/2017,1
9/12/2017,2
10/12/2017,2
11/12/2017,1
14/12/2017,1
15/12/2017,1
17/12/2017,1
18/12/2017,1
20/12/2017,1
21/12/2017,2
22/12/2017,1
24/12/2017,2
26/12/2017,3
27/12/2017,3
28/12/2017,1
30/12/2017,2
1/01/2018,3
2/01/2018,3
3/01/2018,1
4/01/2018,2
5/01/2018,3
6/01/2018,9
7/01/2018,5
8/01/2018,4
9/01/2018,1
10/01/2018,1
11/01/2018,3
12/01/2018,6
13/01/2018,1
14/01/2018,1
15/01/2018,1
16/01/2018,4
17/01/2018,6
18/01/2018,1
19/01/2018,1
20/01/2018,5
21/01/2018,2
22/01/2018,6
23/01/2018,4
24/01/2018,2
25/01/2018,4
26/01/2018,4
27/01/2018,3
28/01/2018,4
29/01/2018,3
30/01/2018,1
31/01/2018,2
1/02/2018,8
2/02/2018,1
3/02/2018,3
4/02/2018,1
5/02/2018,2
6/02/2018,3
7/02/2018,1
8/02/2018,2
9/02/2018,3
10/02/2018,4
11/02/2018,2
12/02/2018,1
13/02/2018,3
14/02/2018,4
15/02/2018,3
16/02/2018,2
17/02/2018,4
18/02/2018,1
19/02/2018,2
21/02/2018,6
22/02/2018,2
23/02/2018,2
24/02/2018,1
25/02/2018,3
26/02/2018,5
27/02/2018,3
28/02/2018,2
1/03/2018,2
2/03/2018,5
3/03/2018,2
4/03/2018,1
5/03/2018,6
6/03/2018,6
7/03/2018,3
8/03/2018,2
9/03/2018,3
10/03/2018,2
11/03/2018,3
12/03/2018,8
13/03/2018,1
14/03/2018,2
15/03/2018,1
16/03/2018,4
17/03/2018,1
18/03/2018,2
19/03/2018,4
20/03/2018,4
21/03/2018,5
22/03/2018,2
23/03/2018,6
24/03/2018,3
25/03/2018,1
26/03/2018,1
27/03/2018,5
28/03/2018,6
29/03/2018,4
30/03/2018,2
31/03/2018,2
1/04/2018,9
3/04/2018,1
4/04/2018,5
5/04/2018,8
6/04/2018,3
7/04/2018,2
8/04/2018,4
9/04/2018,4
10/04/2018,3
11/04/2018,5
12/04/2018,4
13/04/2018,2
14/04/2018,5
15/04/2018,1
17/04/2018,4
18/04/2018,5
20/04/2018,3
21/04/2018,2
22/04/2018,2
24/04/2018,2
25/04/2018,4
26/04/2018,1
28/04/2018,4
29/04/2018,4
30/04/2018,1
1/05/2018,1
2/05/2018,5
3/05/2018,2
4/05/2018,1
5/05/2018,2
6/05/2018,4
7/05/2018,6
8/05/2018,3
9/05/2018,1
10/05/2018,2
11/05/2018,4
12/05/2018,1
13/05/2018,2
14/05/2018,6
15/05/2018,1
16/05/2018,1
17/05/2018,1
18/05/2018,2
19/05/2018,3
20/05/2018,1
21/05/2018,2
22/05/2018,1
23/05/2018,3
24/05/2018,2
25/05/2018,2
26/05/2018,1
27/05/2018,2
28/05/2018,1
29/05/2018,3
30/05/2018,2
31/05/2018,2
1/06/2018,3
2/06/2018,1
3/06/2018,2
4/06/2018,1
5/06/2018,2
6/06/2018,4
7/06/2018,4
8/06/2018,2
9/06/2018,2
10/06/2018,1
11/06/2018,2
12/06/2018,5
13/06/2018,2
14/06/2018,6
15/06/2018,1
16/06/2018,2
17/06/2018,2
19/06/2018,4
20/06/2018,2
22/06/2018,4
23/06/2018,5
25/06/2018,3
27/06/2018,1
29/06/2018,9
1/07/2018,3
3/07/2018,4
4/07/2018,2
5/07/2018,5
6/07/2018,2
7/07/2018,3
8/07/2018,2
10/07/2018,3
11/07/2018,2
13/07/2018,2
14/07/2018,2
15/07/2018,3
17/07/2018,4
18/07/2018,3
19/07/2018,2
20/07/2018,5
21/07/2018,5
22/07/2018,4
23/07/2018,3
24/07/2018,3
25/07/2018,5
26/07/2018,6
27/07/2018,2
28/07/2018,4
30/07/2018,1
31/07/2018,2
1/08/2018,4
2/08/2018,1
3/08/2018,4
4/08/2018,2
5/08/2018,3
6/08/2018,3
7/08/2018,4
8/08/2018,3
9/08/2018,4
10/08/2018,1
12/08/2018,3
13/08/2018,3
14/08/2018,1
16/08/2018,2
17/08/2018,1
18/08/2018,3
19/08/2018,3
20/08/2018,2
23/08/2018,2
24/08/2018,3
25/08/2018,3
26/08/2018,1
27/08/2018,3
28/08/2018,2
29/08/2018,2
30/08/2018,2
31/08/2018,3
1/09/2018,1
3/09/2018,3
4/09/2018,1
5/09/2018,3
6/09/2018,1
7/09/2018,1
8/09/2018,1
9/09/2018,2
11/09/2018,1
12/09/2018,2
14/09/2018,3
15/09/2018,2
16/09/2018,3
17/09/2018,3
18/09/2018,2
20/09/2018,2
22/09/2018,1
23/09/2018,1
24/09/2018,3
25/09/2018,2
26/09/2018,1
27/09/2018,5
28/09/2018,1
29/09/2018,3
30/09/2018,2
1/10/2018,2
2/10/2018,2
3/10/2018,1
4/10/2018,1
5/10/2018,3
7/10/2018,2
8/10/2018,4
10/10/2018,6
11/10/2018,1
12/10/2018,4
14/10/2018,3
15/10/2018,1
17/10/2018,4
18/10/2018,5
19/10/2018,2
20/10/2018,3
21/10/2018,1
22/10/2018,3
23/10/2018,4
25/10/2018,1
27/10/2018,2
29/10/2018,5
31/10/2018,4
2/11/2018,2
3/11/2018,2
4/11/2018,4
5/11/2018,4
8/11/2018,1
9/11/2018,4
10/11/2018,1
11/11/2018,3
12/11/2018,6
13/11/2018,2
14/11/2018,3
15/11/2018,5
17/11/2018,1
19/11/2018,3
20/11/2018,1
21/11/2018,5
22/11/2018,3
23/11/2018,2
24/11/2018,1
27/11/2018,5
28/11/2018,2
29/11/2018,2
30/11/2018,1
1/12/2018,3
4/12/2018,1
5/12/2018,4
6/12/2018,3
7/12/2018,2
8/12/2018,1
9/12/2018,3
10/12/2018,3
11/12/2018,6
12/12/2018,4
13/12/2018,2
15/12/2018,1
16/12/2018,4
17/12/2018,1
18/12/2018,4
